,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
452562,3Xxq4ELsxfEjdMiakl2xoB,"Messiah, HWV 56 / Pt. 1: 11. Air: The people that walked in darkness",27.0,"['George Frideric Handel', 'Robert Hale', 'The Monteverdi Choir', 'English Baroque Soloists', 'John Eliot Gardiner']",1983-01-01,0.324,0.0186,-25.546999999999997,0.0,0.0412,0.968,0.17,137.909
452574,20HpRTTK6ipZNnxnCxBEae,"Messiah, HWV 56 / Pt. 1: 14. Recitative: There were shepherds - Accompagnato: And lo, the angel of the Lord - Recitative: And the angel said unto them - Accompagnato: And suddenly",26.0,"['George Frideric Handel', 'Saul Quirke', 'The Monteverdi Choir', 'English Baroque Soloists', 'John Eliot Gardiner']",1983-01-01,0.317,0.00665,-30.548000000000002,1.0,0.0458,0.9420000000000001,0.21100000000000002,81.41
452763,5y1vg4k6nml6fVSrH53GST,Peter en de Wolf: Grootvader is boos,17.0,"['Sergei Prokofiev', 'Frank Groothof', 'Othmar Maga', 'Het Residentie Orkest']",1986-01-01,0.37,0.0272,-32.1,1.0,0.0685,0.953,0.142,85.991
452771,0EOrfyW12dOy1POrJY8L1j,Peter en de Wolf: Peter laat de wolf vangen,16.0,"['Sergei Prokofiev', 'Frank Groothof', 'Othmar Maga', 'Het Residentie Orkest']",1986-01-01,0.40700000000000003,0.0244,-31.936,1.0,0.0471,0.853,0.249,88.446
452788,3OhRWcPWJWcplovKQuHIFw,Peter en de Wolf: In optocht naar de dierentuin,15.0,"['Sergei Prokofiev', 'Frank Groothof', 'Othmar Maga', 'Het Residentie Orkest']",1986-01-01,0.455,0.0347,-24.465,1.0,0.0507,0.8690000000000001,0.10099999999999999,110.2
452997,0c1QryZP2STHNyRMTVEtmk,"Matthäus-Passion, BWV 244 / Erster Teil: No. 22 ""Der Heiland fällt vor seinem Vater nieder""",27.0,"['Johann Sebastian Bach', 'Olaf Bär', 'English Baroque Soloists', 'John Eliot Gardiner']",1989-01-01,0.485,0.027000000000000003,-28.243000000000002,0.0,0.0405,0.905,0.198,97.052
453014,1a5wxN9di7mZr2pzpKdVGi,Stabat Mater: 2. Cujus animam,26.0,"['Giovanni Battista Pergolesi', 'Emma Kirkby', 'Academy of Ancient Music', 'Christopher Hogwood']",1989-01-01,0.391,0.0638,-20.915,1.0,0.0452,0.9520000000000001,0.125,78.944
453029,3S1jCITQ6xcpKpjWNeyQBd,"Matthäus-Passion, BWV 244 / Erster Teil: No. 26 ""Und er kam und fand sie aber schlafend""",26.0,"['Johann Sebastian Bach', 'Anthony Rolfe Johnson', 'Andreas Schmidt', 'Cornelius Hauptmann', 'English Baroque Soloists', 'John Eliot Gardiner']",1989-01-01,0.375,0.0244,-27.235,1.0,0.0523,0.919,0.133,118.12899999999999
453033,6zV6raDF0PkgMS49A7W4XR,"Matthäus-Passion, BWV 244 / Erster Teil: No. 21 ""Und ging hin ein wenig""",27.0,"['Johann Sebastian Bach', 'Anthony Rolfe Johnson', 'Andreas Schmidt', 'English Baroque Soloists', 'John Eliot Gardiner']",1989-01-01,0.312,0.0235,-29.82,1.0,0.0567,0.873,0.147,94.302
453061,7DECZwieZzxymV9eM2hYd0,"Matthäus-Passion, BWV 244 / Erster Teil: No. 28 ""Und siehe, einer aus denen""",26.0,"['Johann Sebastian Bach', 'Anthony Rolfe Johnson', 'Andreas Schmidt', 'English Baroque Soloists', 'John Eliot Gardiner']",1989-01-01,0.406,0.0452,-25.719,1.0,0.0459,0.929,0.10800000000000001,114.772
